year,state,cause_of_death,population,median_income,poverty_count,aadr,poverty_rate
2013,,,3682966,19624,1644128,,0.4464141129730766
2014,Alabama,Influenza and pneumonia,4817678,43511,889710,18.8,0.1846761033012169
2014,Alaska,Influenza and pneumonia,728300,71829,71866,14.1,0.09867636962790059
2014,Arizona,Influenza and pneumonia,6561516,49928,1169309,10.0,0.1782071399353442
2014,Arkansas,Influenza and pneumonia,2947036,41264,549303,20.7,0.18639168303339354
2014,California,Influenza and pneumonia,38066920,61489,6115244,14.7,0.16064457014121447
2014,Colorado,Influenza and pneumonia,5197580,59448,663861,13.3,0.12772501818153834
2014,Delaware,Influenza and pneumonia,917060,60231,107101,13.8,0.11678734215863738
2014,District of Columbia,Influenza and pneumonia,633736,69235,109378,11.5,0.17259237284926215
2014,Connecticut,Influenza and pneumonia,3592053,69899,364740,13.3,0.10154081802245123
2014,Florida,Influenza and pneumonia,19361792,47212,3159259,9.6,0.1631697623856304
2014,Georgia,Influenza and pneumonia,9907756,49342,1781388,16.2,0.1797973224209397
2014,Idaho,Influenza and pneumonia,1599464,47334,244618,11.3,0.15293748405715915
2014,Hawaii,Influenza and pneumonia,1392704,68201,153752,22.6,0.11039818942144203
2014,Illinois,Influenza and pneumonia,12868747,57166,1810470,16.8,0.14068735674110308
2014,Indiana,Influenza and pneumonia,6542411,48737,983826,14.3,0.15037667306441005
2014,Iowa,Influenza and pneumonia,3078116,52716,373867,13.7,0.12145968508009444
2014,Kansas,Influenza and pneumonia,2882946,51872,386062,18.2,0.1339123244070475
2014,Kentucky,Influenza and pneumonia,4383272,43342,803866,20.8,0.18339404901178846
2014,Louisiana,Influenza and pneumonia,4601049,44991,874638,17.5,0.19009534564835107
2014,Maine,Influenza and pneumonia,1328535,48804,179878,13.7,0.1353957554750157
2014,Maryland,Influenza and pneumonia,5887776,74149,573383,15.6,0.09738532851793275
2014,Massachusetts,Influenza and pneumonia,6657291,67846,742784,15.8,0.11157451281609893
2014,Michigan,Influenza and pneumonia,9889024,49087,1633316,15.5,0.16516452988687255
2014,Minnesota,Influenza and pneumonia,5383661,60828,605761,9.8,0.11251841451384105
2014,Mississippi,Influenza and pneumonia,2984345,39464,653726,23.5,0.21905175172441524
2014,Missouri,Influenza and pneumonia,6028076,47764,912291,18.1,0.15134032815777373
2014,Montana,Influenza and pneumonia,1006370,46766,150096,13.7,0.1491459403599074
2014,Nebraska,Influenza and pneumonia,1855617,52400,231762,15.1,0.12489754081795974
2014,Nevada,Influenza and pneumonia,2761584,52205,423578,23.8,0.15338226177440195
2014,New Hampshire,Influenza and pneumonia,1321069,65986,113374,11.5,0.08581989282921634
2014,New Jersey,Influenza and pneumonia,8874374,72062,934665,11.3,0.10532179509225101
2014,New Mexico,Influenza and pneumonia,2080085,44968,426116,16.1,0.20485509005641597
2014,New York,Influenza and pneumonia,19594330,58687,2978521,19.5,0.1520093312708319
2014,North Carolina,Influenza and pneumonia,9750405,46693,1669147,17.2,0.17118745323912185
2014,North Dakota,Influenza and pneumonia,704925,55579,80865,18.5,0.11471433131184168
2014,Ohio,Influenza and pneumonia,11560380,48849,1790564,16.9,0.15488798811111745
2014,Oklahoma,Influenza and pneumonia,3818851,46235,625508,16.8,0.16379481681793817
2014,Oregon,Influenza and pneumonia,3900343,50521,638816,9.1,0.16378456971604805
2014,Pennsylvania,Influenza and pneumonia,12758729,53115,1667858,14.2,0.13072289567401266
2014,Rhode Island,Influenza and pneumonia,1053252,56423,143996,11.7,0.13671561981368183
2014,South Carolina,Influenza and pneumonia,4727273,45033,840141,13.9,0.17772212436218512
2014,South Dakota,Influenza and pneumonia,834708,50338,114444,16.2,0.1371066289049584
2014,Tennessee,Influenza and pneumonia,6451365,44621,1121344,22.1,0.17381499884133048
2014,Texas,Influenza and pneumonia,26092033,52576,4500034,14.2,0.17246774139830345
2014,Vermont,Influenza and pneumonia,626358,54447,72044,9.3,0.1150204834934654
2014,Utah,Influenza and pneumonia,2858111,59846,358682,16.2,0.12549617562089085
2014,Virginia,Influenza and pneumonia,8185131,64792,914237,17.1,0.11169485253198758
2014,Washington,Influenza and pneumonia,6899123,60294,916364,9.4,0.13282325884029028
2014,West Virginia,Influenza and pneumonia,1853881,41576,326225,19.6,0.17596868407411262
2014,Wisconsin,Influenza and pneumonia,5724692,52738,738557,13.8,0.12901253028110507
2014,Wyoming,Influenza and pneumonia,575251,58252,65271,18.1,0.11346525255931758
2014,,,3638965,19686,1630965,,0.4481947476823767
2015,Mississippi,Influenza and pneumonia,2988081,39665,651545,24.0,0.2180479712564686
2015,Missouri,Influenza and pneumonia,6045448,48173,915972,17.9,0.15151432945912363
2015,Montana,Influenza and pneumonia,1014699,47169,150586,13.7,0.14840460077323422
2015,Nebraska,Influenza and pneumonia,1869365,52997,231115,16.9,0.12363289138290275
2015,Nevada,Influenza and pneumonia,2798636,51847,426337,21.3,0.15233742437387357
2015,New Hampshire,Influenza and pneumonia,1324201,66779,113840,16.1,0.08596882195376684
2015,New Jersey,Influenza and pneumonia,8904413,72093,944847,12.5,0.1061099704157927
2015,New Mexico,Influenza and pneumonia,2084117,44963,429361,13.6,0.20601578510227592
2015,New York,Influenza and pneumonia,19673174,59269,3005943,20.0,0.15279400263526363
2015,North Carolina,Influenza and pneumonia,9845333,46868,1667465,18.7,0.16936603363238195
2015,North Dakota,Influenza and pneumonia,721640,57181,79758,17.7,0.11052325259131977
2015,Ohio,Influenza and pneumonia,11575977,49429,1775836,16.6,0.1534070083242218
2015,Oklahoma,Influenza and pneumonia,3849733,46879,624043,16.5,0.1621003326724217
2015,Oregon,Influenza and pneumonia,3939233,51243,636947,9.0,0.16169315194099967
2015,Pennsylvania,Influenza and pneumonia,12779559,53599,1666569,15.9,0.13040896012139386
2015,Rhode Island,Influenza and pneumonia,1053661,56852,144223,16.2,0.1368779901695137
2015,South Carolina,Influenza and pneumonia,4777576,45483,830901,15.3,0.173916856581664
2015,South Dakota,Influenza and pneumonia,843190,50957,114907,18.2,0.13627652130599271
2015,Tennessee,Influenza and pneumonia,6499615,45219,1117594,23.3,0.17194772305744263
2015,Texas,Influenza and pneumonia,26538614,53207,4472451,13.0,0.16852617095979466
2015,Vermont,Influenza and pneumonia,626604,55176,69233,10.0,0.11048924041340304
2015,Utah,Influenza and pneumonia,2903379,60727,351601,15.7,0.12110062103500784
2015,Virginia,Influenza and pneumonia,8256630,65015,921822,15.7,0.11164627699194465
2015,Washington,Influenza and pneumonia,6985464,61062,908512,10.7,0.1300575022647028
2015,West Virginia,Influenza and pneumonia,1851420,41751,323384,21.2,0.17466809259919414
2015,Wisconsin,Influenza and pneumonia,5742117,53357,724348,14.2,0.12614650659329998
2015,Wyoming,Influenza and pneumonia,579679,58840,64995,16.0,0.11212239877587424
2015,,,3583073,19350,1616117,,0.45104216408652575
2015,Alabama,Influenza and pneumonia,4830620,43623,887260,19.5,0.18367414534780216
2015,Alaska,Influenza and pneumonia,733375,72515,72957,8.4,0.09948116584284984
2015,Arizona,Influenza and pneumonia,6641928,50255,1180690,9.5,0.17776314347279887
2015,Arkansas,Influenza and pneumonia,2958208,41371,553644,20.0,0.18715519665959932
2015,California,Influenza and pneumonia,38421464,61818,6135142,14.8,0.1596800684117607
2015,Colorado,Influenza and pneumonia,5278906,60629,653969,12.3,0.12388343342351615
2015,Delaware,Influenza and pneumonia,926454,60509,108315,16.1,0.11691352188020128
2015,District of Columbia,Influenza and pneumonia,647484,70848,110365,16.2,0.17045208839137338
2015,Connecticut,Influenza and pneumonia,3593222,70331,366351,13.6,0.10195612739763922
2015,Florida,Influenza and pneumonia,19645772,47507,3180109,8.9,0.16187243748934885
2015,Georgia,Influenza and pneumonia,10006693,49620,1788947,15.5,0.1787750458618047
2015,Idaho,Influenza and pneumonia,1616547,47583,245177,12.4,0.15166710278142237
2015,Hawaii,Influenza and pneumonia,1406299,69515,153944,27.4,0.10946747455555327
2015,Illinois,Influenza and pneumonia,12873761,57574,1801118,15.7,0.13990612378154293
2015,Indiana,Influenza and pneumonia,6568645,49255,978043,13.9,0.14889570071148617
2015,Iowa,Influenza and pneumonia,3093526,53183,373883,14.2,0.12085982144646594
2015,Kansas,Influenza and pneumonia,2892987,52205,381353,18.9,0.13181981115020566
2015,Kentucky,Influenza and pneumonia,4397353,43740,805841,19.3,0.1832559269178526
2015,Louisiana,Influenza and pneumonia,4625253,45047,888280,15.3,0.1920500348845782
2015,Maine,Influenza and pneumonia,1329100,49331,180278,17.6,0.13563915431494997
2015,Maryland,Influenza and pneumonia,5930538,74551,576805,17.7,0.09726014739303585
2015,Massachusetts,Influenza and pneumonia,6705586,68563,748905,17.1,0.11168375142754115
2015,Michigan,Influenza and pneumonia,9900571,49576,1616870,15.2,0.16331078278212438
2015,Minnesota,Influenza and pneumonia,5419171,61492,596662,10.9,0.11010208018901783
2016,Mississippi,Influenza and pneumonia,2989192,40528,645553,23.4,0.2159623737785997
2016,Missouri,Influenza and pneumonia,6059651,49593,897755,15.1,0.14815292167816266
2016,Montana,Influenza and pneumonia,1023391,48380,148677,11.1,0.14527878396429125
2016,Nebraska,Influenza and pneumonia,1881259,54384,227021,14.3,0.12067503730214713
2016,Nevada,Influenza and pneumonia,2839172,53094,417257,18.1,0.1469643262190526
2016,New Hampshire,Influenza and pneumonia,1327503,68485,109690,11.8,0.08262881515145352
2016,New Jersey,Influenza and pneumonia,8915456,73702,949341,10.7,0.10648260728335152
2016,New Mexico,Influenza and pneumonia,2082669,45674,426814,14.6,0.20493607001400607
2016,New York,Influenza and pneumonia,19697457,60741,2967564,18.3,0.15065721427898027
2016,North Carolina,Influenza and pneumonia,9940828,48256,1631704,16.5,0.16414165902478145
2016,North Dakota,Influenza and pneumonia,736162,59114,79314,14.5,0.10773987247372181
2016,Ohio,Influenza and pneumonia,11586941,50674,1732839,15.0,0.14955103335729422
2016,Oklahoma,Influenza and pneumonia,3875589,48038,621155,12.4,0.16027370291328621
2016,Oregon,Influenza and pneumonia,3982267,53270,614223,8.9,0.15423953240704352
2016,Pennsylvania,Influenza and pneumonia,12783977,54895,1647762,13.9,0.1288927537964125
2016,Rhode Island,Influenza and pneumonia,1054491,58387,140161,11.0,0.1329181567220583
2016,South Carolina,Influenza and pneumonia,4834605,46898,806422,12.0,0.16680204484130554
2016,South Dakota,Influenza and pneumonia,851058,52078,115300,16.7,0.13547842802723198
2016,Tennessee,Influenza and pneumonia,6548009,46574,1100169,20.1,0.16801580449874154
2016,Texas,Influenza and pneumonia,26956435,54727,4397307,11.1,0.16312642973746344
2016,Vermont,Influenza and pneumonia,626249,56104,69673,7.0,0.11125446906901248
2016,Utah,Influenza and pneumonia,2948427,62518,338808,15.5,0.1149114426099069
2016,Virginia,Influenza and pneumonia,8310301,66149,921664,12.7,0.11090621145972931
2016,Washington,Influenza and pneumonia,7073146,62848,883256,10.0,0.12487456076829179
2016,West Virginia,Influenza and pneumonia,1846092,42644,318060,17.3,0.1722882716571005
2016,Wisconsin,Influenza and pneumonia,5754798,54610,713472,11.9,0.1239786348712848
2016,Wyoming,Influenza and pneumonia,583029,59143,65762,15.0,0.11279370322917041
2016,,,3529385,19606,1577075,,0.4468413052132312
2016,Alabama,Influenza and pneumonia,4841164,44758,868666,17.1,0.17943329331540928
2016,Alaska,Influenza and pneumonia,736855,74444,72826,12.5,0.0988335561270535
2016,Arizona,Influenza and pneumonia,6728577,51340,1165636,10.4,0.1732366293794364
2016,Arkansas,Influenza and pneumonia,2968472,42336,542431,17.1,0.1827307112885013
2016,California,Influenza and pneumonia,38654206,63783,6004257,14.0,0.15533256587911803
2016,Colorado,Influenza and pneumonia,5359295,62520,637938,9.6,0.11903394009846445
2016,Delaware,Influenza and pneumonia,934695,61017,109448,10.7,0.1170948812179374
2016,District of Columbia,Influenza and pneumonia,659009,72935,112060,11.5,0.1700432012309392
2016,Connecticut,Influenza and pneumonia,3588570,71755,360464,11.7,0.10044781068782273
2016,Florida,Influenza and pneumonia,19934451,48900,3139258,9.3,0.15747902964571234
2016,Georgia,Influenza and pneumonia,10099320,51037,1746894,14.3,0.17297144758260952
2016,Idaho,Influenza and pneumonia,1635483,49174,244585,11.3,0.14954909344823517
2016,Hawaii,Influenza and pneumonia,1413673,71977,148577,24.4,0.10509997715171755
2016,Illinois,Influenza and pneumonia,12851684,59196,1753731,14.5,0.1364592375598404
2016,Indiana,Influenza and pneumonia,6589578,50433,957694,12.6,0.14533464813680028
2016,Iowa,Influenza and pneumonia,3106589,54570,369828,11.6,0.11904632379757991
2016,Kansas,Influenza and pneumonia,2898292,53571,373162,14.4,0.12875238243765638
2016,Kentucky,Influenza and pneumonia,4411989,44811,804139,17.3,0.18226224045436196
2016,Louisiana,Influenza and pneumonia,4645670,45652,889570,14.3,0.19148368265503146
2016,Maine,Influenza and pneumonia,1329923,50826,174405,12.0,0.13113917121517563
2016,Maryland,Influenza and pneumonia,5959902,76067,576835,15.1,0.09678598742059853
2016,Massachusetts,Influenza and pneumonia,6742143,70954,740836,14.1,0.10988138341177278
2016,Michigan,Influenza and pneumonia,9909600,50803,1575066,13.7,0.15894344877694358
2016,Minnesota,Influenza and pneumonia,5450868,63217,577196,7.8,0.10589065814839031
2017,Mississippi,Influenza and pneumonia,2986220,42009,620007,23.0,0.20762268017761584
2017,Missouri,Influenza and pneumonia,6075300,51542,861679,16.7,0.14183316050236203
2017,Montana,Influenza and pneumonia,1029862,50801,144198,13.3,0.1400168177872375
2017,Nebraska,Influenza and pneumonia,1893921,56675,220330,16.2,0.11633536984911197
2017,Nevada,Influenza and pneumonia,2887725,55434,405263,19.6,0.14033988693521718
2017,New Hampshire,Influenza and pneumonia,1331848,71305,104470,13.1,0.07843988202857984
2017,New Jersey,Influenza and pneumonia,8960161,76475,938252,11.7,0.10471374342492283
2017,New Mexico,Influenza and pneumonia,2084828,46718,420293,13.6,0.20159600696076607
2017,Alabama,Influenza and pneumonia,4850771,46472,849699,20.2,0.17516782383666432
2017,Alaska,Influenza and pneumonia,738565,76114,73380,11.7,0.09935482997434214
2017,Arizona,Influenza and pneumonia,6809946,53510,1128046,10.1,0.16564683479134784
2017,Arkansas,Influenza and pneumonia,2977944,43813,524211,19.8,0.17603118124450964
2017,California,Influenza and pneumonia,38982847,67169,5773408,14.6,0.1481012405276608
2017,New York,Influenza and pneumonia,19798228,62765,2908471,17.7,0.14690562205870142
2017,North Carolina,Influenza and pneumonia,10052564,50320,1579871,17.5,0.15716099892524932
2017,North Dakota,Influenza and pneumonia,745475,61285,79374,15.3,0.10647439551963513
2017,Ohio,Influenza and pneumonia,11609756,52407,1683890,14.9,0.14504094659698274
2017,Oklahoma,Influenza and pneumonia,3896251,49767,612714,13.9,0.15725732248769395
2017,Oregon,Influenza and pneumonia,4025127,56119,587248,11.1,0.14589552081213836
2017,Pennsylvania,Influenza and pneumonia,12790505,56951,1623537,14.6,0.1269329866178075
2017,Rhode Island,Influenza and pneumonia,1056138,61043,136126,13.9,0.1288903533439759
2017,South Carolina,Influenza and pneumonia,4893444,48781,790657,12.3,0.16157475185166112
2017,South Dakota,Influenza and pneumonia,855444,54126,114885,19.0,0.13429867998372774
2017,Tennessee,Influenza and pneumonia,6597381,48708,1072360,21.3,0.16254328801080306
2017,Texas,Influenza and pneumonia,27419612,57051,4291384,11.2,0.15650783096420182
2017,Vermont,Influenza and pneumonia,624636,57808,68144,9.7,0.10909393630850607
2017,Utah,Influenza and pneumonia,2993941,65325,324856,13.3,0.10850447620711297
2017,Virginia,Influenza and pneumonia,8365952,68766,906838,13.1,0.10839627098027815
2017,Washington,Influenza and pneumonia,7169967,66174,859950,12.6,0.11993779050865924
2017,West Virginia,Influenza and pneumonia,1836843,44061,317089,18.2,0.1726271651959367
2017,Wisconsin,Influenza and pneumonia,5763217,56759,692719,12.9,0.12019658465055194
2017,Wyoming,Influenza and pneumonia,583200,60938,63398,17.5,0.10870713305898491
2017,,,3468963,19775,1543220,,0.4448649351405593
2017,Delaware,Influenza and pneumonia,943732,63036,111304,14.9,0.11794026270169922
2017,District of Columbia,Influenza and pneumonia,672391,77649,111025,11.4,0.16511969969853849
2017,Connecticut,Influenza and pneumonia,3594478,73781,350783,13.1,0.09758941353932338
2017,Florida,Influenza and pneumonia,20278447,50883,3070972,9.6,0.1514401965791562
2017,Georgia,Influenza and pneumonia,10201635,52977,1679030,13.8,0.16458440240216396
2017,Idaho,Influenza and pneumonia,1657375,50985,236000,13.7,0.1423938456897202
2017,Hawaii,Influenza and pneumonia,1421658,74923,143148,29.6,0.10069088346142321
2017,Illinois,Influenza and pneumonia,12854526,61229,1698613,15.6,0.13214123959140928
2017,Indiana,Influenza and pneumonia,6614418,52182,933540,13.8,0.14113713406077452
2017,Iowa,Influenza and pneumonia,3118102,56570,361343,13.2,0.11588556115226506
2017,Kansas,Influenza and pneumonia,2903820,55477,361285,15.0,0.12441714706834446
2017,Kentucky,Influenza and pneumonia,4424376,46535,783586,18.1,0.17710655694723956
2017,Louisiana,Influenza and pneumonia,4663461,46710,887574,15.1,0.19032516836744212
2017,Maine,Influenza and pneumonia,1330158,53024,166904,15.2,0.12547682305410335
2017,Maryland,Influenza and pneumonia,5996079,78916,566966,14.0,0.09455612576151849
2017,Massachusetts,Influenza and pneumonia,6789319,74167,727546,15.9,0.1071603794136054
2017,Michigan,Influenza and pneumonia,9925568,52668,1510841,14.2,0.15221708218612778
2017,Minnesota,Influenza and pneumonia,5490726,65699,560995,9.9,0.10217137041622547
2017,Colorado,Influenza and pneumonia,5436519,65458,612143,10.1,0.11259833728163186
